item_id|title|subtitle|categories|author_name|image_url|description
B0019LNUVA|ROLLING THUNDER: An Historical Novel of War and Politics (Wings of War Book 1)|Kindle Edition|[  Literature & Fiction]|Mark Berent|https://m.media-amazon.com/images/I/519YUR0HNdL.jpg|"[Review, '""A taut, exciting tale of good men in abad war. Berent is the real thing."" --- Tom Clancy ""Rolling Thunder is terrific - a novel of exceptional authenticity thathits like a thunderclap. A decorated Vietnam pilot, Mark Berent knows planesand men and battle, and he whirls them around in a story of uncommonstrength."" W.E.B GriffinFrom Publishers WeeklyBerent is a decorated Air Force pilot who served three toursin Vietnam. His first novel is structured around the yearlong tours of duty of "
B076FNQWTF|The Girl Who Lived: A Thrilling Suspense Novel|Kindle Edition|[  Literature & Fiction]|Christopher Greyson|https://m.media-amazon.com/images/I/51eAMQG-GkL.jpg|"[Review, 'Praise for Christopher Greyson\'s', The Girl Who Lived, Gold Medal Winner for Best Mystery/Thriller ebook of the Year, -- 2018 Independent Publisher Book Awards, Winner Best Thriller, -- 2018 National Indie Excellence Awards, Voted Most Loved Cover, -- NetGalley Readers, Grab your copy of this highly-acclaimed thriller today!, '""Greyson is a master of weaving suspense and keeping the reader guessing..."" -- NetGalley Review  ""The plot turns come fast and furious... Sharp characters enme"
B00FN2KR2G|The Gordonston Ladies Dog Walking Club|Kindle Edition|[  Literature & Fiction]|Duncan Whitehead|https://m.media-amazon.com/images/I/51wa4udcDjL.jpg|[About the Author, 'The life of Duncan Whitehead, winner of the 2013 Reader’s Favorite International Book Award and Gold Medalist, is as quirky as his works. Born in 1967, he served in the Royal Navy in embassies across South America and was an amateur boxer. He worked as a purser on some of the world’s largest super yachts and visited many exotic places. He’s also an instructor of English as a foreign language, fluent in Spanish, and a children’s soccer coach.', 'Duncan retired to Savannah, Geo
B00QXUN5Y4|Royal Date (The Royals of Monterra Book 1)|Kindle Edition|[  Literature & Fiction]|Sariah Wilson|https://m.media-amazon.com/images/I/51B5uYHUaaL.jpg|[]
B078JDQ9BH|Defending Allye (Mountain Mercenaries Book 1)|Kindle Edition|[  Romance]|Susan Stoker|https://m.media-amazon.com/images/I/51ET9v-RXOL.jpg|[From the Author, 'Mountain MercenariesDefending AllyeDefending ChloeDefending MorganDefending HarlowDefending EverlyDefending ZaraDefending RavenSEAL of Protection: LegacySecuring CaiteSecuring Brenae (novella)Securing SidneySecuring PiperSecuring ZoeySecuring AverySecuring KaleeSecuring JaneSEAL Team HawaiiFinding ElodieFinding Lexie (Aug 2021)Finding Kenna (Oct 2021)Finding Monica (May 2022)Finding Carly (TBA)Finding Ashlyn (TBA)Finding Jodelle (TBA)Eagle Point Search & RescueSearching for Li
B07G8NTJVP|Thin Air (Jessica Shaw Book 1)|Kindle Edition|[  'Mystery, Thriller & Suspense']|Lisa Gray|https://m.media-amazon.com/images/I/41loP-2eVzL.jpg|[Review, “One of this year’s best new thrillers…”, —, Evening Standard, “You’ll find this one hard to put down.”, —, Daily Record, '“Lisa Gray explodes onto the literary stage with this taut, edge-of-the-seat thriller, and her headstrong protagonist Jessica Shaw, reminiscent of Lee Child’s Jack Reacher, delivers a serious punch.”', '—Robert Dugoni,', New York Times, bestselling author, “Mazey Los Angeles noir for fans of Sara Gran. I’m liking it a lot.”, '—Ian Rankin, bestselling author of the I
B083TZV25B|Credence|Kindle Edition|[  Literature & Fiction]|Penelope Douglas||"[Review, '""Surprisingly sexy and wickedly dirty."" -', 'Chelle Bliss, USA Today Bestselling Author', '""Credence is a sinfully delicious read packed with taboo goodness and fiery sex scenes sure to have you squeezing your thighs together.I didn\'t read this book, I devoured it."" -', 'Tabitha Vargo, New York TimesBestselling Author', '""It is, hands-down, Penelope\'s hottest book to date, but it\'s not ""just"" erotica. The writing is flawless and the imagery is magical.Credence packs an unexpected em"
B002H8ORMU|Moloka'i: A Novel|Kindle Edition|[  Literature & Fiction]|Alan Brennert|https://m.media-amazon.com/images/I/51lXOGfKfBL.jpg|[From Publishers Weekly, 'Compellingly original in its conceit, Brennert\'s sweeping debut novel tracks the grim struggle of a Hawaiian woman who contracts leprosy as a child in Honolulu during the 1890s and is deported to the island of Moloka\'i, where she grows to adulthood at the quarantined settlement of Kalaupapa. Rachel Kalama is the plucky, seven-year-old heroine whose family is devastated when first her uncle Pono and then she develop leprous sores and are quarantined with the disease. W
B0063VBFVI|Eleven: An absolutely heart-pounding and chilling serial killer thriller (Brandon Fisher FBI Series Book 1)|Kindle Edition|[  Literature & Fiction]|Carolyn Arnold|https://m.media-amazon.com/images/I/410QG1mMilS.jpg|[Review, From the Author, Brandon Fisher FBI Series, Serial killers. Profilers. The hunt is on., 'Heart-pounding psychological thrillers for readers fascinated with serial killers. Each installment is a new case with a fresh bloody trail to follow. Join FBI Special Agent Brandon Fisher and his team with the Behavioral Analysis Unit as they profile and hunt some of the most deviant and darkest minds on the planet. The team is stationed in Quantico, Virginia, but their mission to stop killers take
B004KKXWMO|Portrait of a Spy (Gabriel Allon Book 11)|Kindle Edition|[  Literature & Fiction]|No Disponible|https://m.media-amazon.com/images/I/51UseiOf9HL.jpg|[]
B010LU8V8Q|The Nest|Kindle Edition|[  Literature & Fiction]|'Cynthia D\'Aprix Sweeney'|https://m.media-amazon.com/images/I/51qfhcGc6oL.jpg|[Amazon.com Review, 'An Amazon Best Book of March 2016:', The Nest, 'is a debut novel about a dysfunctional New York family. That’s a pretty common subject for a novel and not very interesting in itself. But there’s magic that happens when you pick up a book, start reading and realize that what the author has chosen to write about—the places, the characters, the dialogue, the set pieces—they’re all just right. That’s how I felt reading this book.', The Nest, 'is not populated with characters who
B00DQ0ZS4E|The Atlantis Stone|Kindle Edition|[  Literature & Fiction]|Nick Thacker|https://m.media-amazon.com/images/I/61LtX4cS1KL.jpg|[Review, 'In 1791, two men began planning the layout for the nation\'s capital city. One is shunned and resigns in disgrace, and the other is all but forgotten. Years later, an original copy of the plans long thought to have been destroyed is found, with hastily marked notations by Thomas Jefferson and George Washington. During the second World War, American military scientists discover some fascinating properties of the hydrogen atom and its link to an ancient mystical number. The exact finding
B00FCQQ1IW|Be Careful What You Wish For: A Novel (Clifton Chronicles Book 4)|Kindle Edition|[  Literature & Fiction]|Jeffrey Archer||[From, Booklist, 'The Clifton Chronicles’ fourth volume takes the saga from the late 1950s to the mid-’60s. The book begins with a shocker: Harry and Emma’s son, Sebastian, is nearly killed in an automobile accident; his friend Bruno does die. It seems Sebastian was the intended target, and Bruno’s father, Don Pedro Martinez, who has a long and contentious history with the Cliftons (and who didn’t know his own son was in the car), is the likely culprit. If you don’t know who any of these people 
B00G3L1B8K|The Obstacle Is the Way: The Timeless Art of Turning Trials into Triumph|Kindle Edition|[  Business & Money]|Ryan Holiday|https://m.media-amazon.com/images/I/51XsK6hoTzL.jpg|"[Review, “The book on stoicism that’s taking the NFL by storm.”, –, Sports Illustrated, '""The best one I\'ve read. Ryan Holiday is brilliant. If I had read', The Obstacle Is the Way, 'sooner, a few things might have been different.""', '- Rory McIlroy,', 2x PGA Champion“Follow these precepts and you will revolutionize your life. Read this book!”—, Steven Pressfield, ', author of', The War of Art, and, Gates of Fire, “A book for the bedside of every future—and current—leader in the world.”—, Rober"
B08JMF22F2|Wintersteel (Cradle Book 8)|Kindle Edition|[  Science Fiction & Fantasy]|Will Wight|https://m.media-amazon.com/images/I/51oWcM0457L.jpg|[About the Author, Will Wight, 'lives in Florida, among the citrus fruits and slithering sea creatures. He\'s the author of the Amazon best-selling', Traveler’s Gate Trilogy, ',', The Elder Empire, '(which cleverly offers twice the fun and twice the work), and his newest series of mythical martial arts magic:', Cradle, '.He graduated from the University of Central Florida in 2013, earning a Master’s of Fine Arts in Creative Writing and a flute of dragon’s bone. He is also, apparently, invisible 
B06XTKBMWT|Glad One: Crazy is a Relative Term (Val Fremden Midlife Mysteries Book 1)|Kindle Edition|[  Literature & Fiction]|Margaret Lashley|https://m.media-amazon.com/images/I/51UNUhIMwGS.jpg|"[Review, #1 Amazon Best Seller in, 'Amateur Sleuths, Cozy Mystery, Humor & Satire, Women\'s Detective Fiction, Comedy,', 'Humorous Dark Comedy,', 'Men, Women & Relationships Humor, and Love, Sex & Marriage Humor', '.""A funny, frenetic, fantastic read! Every bit as entertaining and maybe more so that Stephanie Plum at her best.""', F Schloemer, '""Top Pick of the Day"" by', Book Adrenaline, '.""I could not put this book down for the life of me. Val and her pals are a real hoot. You will enjoy the rid"
B011LSLI9G|Him|Kindle Edition|[  Romance]|Elle Kennedy|https://m.media-amazon.com/images/I/41HxHKKszfL.jpg|"[Review, '""I read HIM in one sitting--it\'s so, so good! If I had to pick two authors who I\'d have team up, it would be Bowen and Kennedy"" --', #1 New York Times bestselling author Colleen Hoover, '""HIM is my favorite read of 2015!  Hot, sexy, romantic, funny, and full of heart. I LOVED Jamie and Wes!"" --', NYT Bestselling Author Lauren Blakely, '""The way that Sarina Bowen and Elle Kennedy spun the tale of these two men falling and staying in love was absolutely timeless and beautifully real.""'"
B0087G3U92|Captured (The Captive Series Book 1)|Kindle Edition|[  Teen & Young Adult]|Erica Stevens||[About the Author, 'Erica Stevens is the author of the Captive Series, Kindred Series, Fire & Ice Series, Ravening Series, and the Survivor Chronicles. She enjoys writing young adult, new adult, romance, horror, and science fiction. She also writes adult paranormal romance and historical romance under the pen name, Brenda K. Davies. When not out with friends and family, she is at home with her husband, dog, and horse.']
B09C6LW4XW|The Perfect Marriage: A Completely Gripping Psychological Suspense|Kindle Edition|[  Literature & Fiction]|Jeneva Rose|https://m.media-amazon.com/images/I/411Ks+eZOqL.jpg|[About the Author, Jeneva Rose is the Amazon Charts bestselling author of, The, Perfect, Marriage, and, One of Us is Dead, '. Her work has been translated into more than a dozen languages and optioned for film/tv. Originally from Wisconsin, she currently lives in Chicago with her husband, Drew, and her English bulldog, Winston.', From the Author, 'Dear Reader,I hope you loved', The Perfect Marriag, 'e and if you did, I would be forever grateful if you could write a review. I\'d love to hear what
B009NNL8EC|A View to Die For (Books to Die For Book 1)|Kindle Edition|[  'Mystery, Thriller & Suspense']|Richard Houston|https://m.media-amazon.com/images/I/51T2wjMLWOL.jpg|"[Review, '""This is quite simply one of the bestbooks I\'ve read in a long time. I absolutely loved it. While I know the Ozarksand Colorado well, it certainly isn\'t necessary for the reader to haveknowledge of those areas because of the superb dialogue, the plot, and theauthor\'s obvious love for animals. Fred is a wonderful character. And yes, myhusband has also given a little beer here and there to our dogs over the years!When you pick this book up, better create a little time to devote to the"
B00E3FFX0K|Dark Space (Book 2): The Invisible War|Kindle Edition|[  Science Fiction & Fantasy]|Jasper T. Scott|https://m.media-amazon.com/images/I/5156dIzbGHL.jpg|[From the Author, 'Author\'s Content Rating:', PG-13, 'Relatability/Target Audience:', 'Adult, but should appeal to / be suitable for all ages', 'Details:', 'Swearing: made-up euphemisms onlySex: PG-13Violence: non-graphic', 'Author\'s Guarantee:', 'If you find anything you consider inappropriate for this rating, please e-mail me at JasperTscott@gmail.com and I will either remove the content or change the rating accordingly.', About the Author, 'Join the author\'s newsletter to get discounts, pa
B001I45UF2|The Magician's Nephew (Chronicles of Narnia Book 1)|Kindle Edition|[  'Children\'s eBooks']|C.S. Lewis|https://m.media-amazon.com/images/I/51KCv9XrR2L.jpg|[Review, ., From the Back Cover, 'Narnia … where the woods are thick and cool, where Talking Beasts are called to life … a new world where the adventure begins. Digory and Polly meet and become friends one cold, wet summer in London. Their lives burst into adventure when Digory\'s Uncle Andrew, who thinks he is a magician, sends them hurtling to … somewhere else. They find their way to Narnia, newborn from the Lion\'s song, and encounter the evil sorceress Jadis before they finally return home.'
B00LEWR0SS|13 Hours: The Inside Account of What Really Happened In Benghazi|Kindle Edition|[  History]|Mitchell Zuckoff|https://m.media-amazon.com/images/I/51Fqa6xp4SL.jpg|"[Review, '""A crisply written, gripping narrative of the events of the battle in Benghazi that adds considerable detail to the public record of what happened there...[an] authoritative account.""―', The Wall Street Journal, '""A great number of journalists and government instrumentalities have tilted at Benghazi...All of those efforts look fragmentary when placed side-by-side with 13 HOURS.""―', The Washington Post, '""13 HOURS provide(s) a moving reminder of the sacrifice made by these men who had v"
B006WEZ9TK|Shadow of Night: A Novel (All Souls Trilogy, Book 2)|Kindle Edition|[  'Mystery, Thriller & Suspense']|No Disponible|https://m.media-amazon.com/images/I/51bL65YVIYL.jpg|[]
B00I3QS1XQ|Unlimited Memory: How to Use Advanced Learning Strategies to Learn Faster, Remember More and be More Productive|Kindle Edition|[  Education & Teaching]|Kevin Horsley|https://m.media-amazon.com/images/I/511xUPpCgOL.jpg|[About the Author, 'For over 25 years, Kevin Horsley has been analyzing the mind and memory and its capacity for brilliance. He is one of only a few people in the world to have received the title of International Grandmaster of Memory. He is a World Memory Championship medalist, and a two-time World Record holder for The Everest of memory tests. Kevin is also an author of four books, and the designer of a mathematics game with the Serious Games Institute at North-West University Vaal Campus.His 
B01BVD40HS|The Eagle Tree|Kindle Edition|[  Literature & Fiction]|Ned Hayes|https://m.media-amazon.com/images/I/51Q49aNyE9L.jpg|[Review, '“Every human experience is unique, but', The Eagle Tree, provides insight into one distinctive and uniquely important perspective. The descriptions in climbing the Eagle Tree gets deep into the mathematical pattern–based sensory world of a person with autism. The experience of navigating a tree climb is described in detail with mathematical and sensory detail that seems very authentic to me.”, '—Temple Grandin, Ph.D., author of', Thinking in Pictures, and, 'Emergence: Labeled Autistic'
B007SAKW9E|Mail Order Millie (Homespun Book 1)|Kindle Edition|[  Religion & Spirituality]|Katie Crabapple|https://m.media-amazon.com/images/I/51yYzsMwQGL.jpg|[From the Author, 'This is the first book in the Homespun series.  The second book is Sleigh Ride.  The third, Teaching Patience, is now available.']
B005NY4QGM|The Color Purple||[  Literature & Fiction]|Alice Walker|https://m.media-amazon.com/images/I/51GuBnaCPeL.jpg|[Review, “, The Color Purple, is an American novel of permanent importance.” —, Newsweek, “, The Color Purple, 'is about the struggle between redemption and revenge. And the chief agency of redemption, Walker is saying, is the strength of the relationships between women: their friendships, their love, their shared expression.” —', The Nation, “Intense emotional impact . . . indelibly affecting.” —, The New York Times Book Review, “Superb . . . A work to stand beside literature of any time and pl
B01MRTK9NF|The Crimson Queen (The Raveling Book 1)||[  Science Fiction & Fantasy]|Alec Hutson|https://m.media-amazon.com/images/I/513ypbuPzCL.jpg|"[Review, '""If you\'re looking for the next big thing in epic fantasy . . . then look no further.""', '- Will Wight, bestselling author of', Unsouled, and, Blackflame, '""', 'Fresh, imaginative fantasy.', The Crimson Queen, 'introduces a world filled with powerful magic, clashing cultures, and epic conflicts. I couldn\'t put it down, and I can\'t wait to see where Alec Hutson takes this next.', '"" - AC Cobble, bestselling author of', Benjamin Ashwood, '""Imagine the best of Robert Jordan\'s worldbui"
B017AFRNM0|Elementals: The Prophecy of Shadows|Kindle Edition|[  Teen & Young Adult]|Michelle Madow|https://m.media-amazon.com/images/I/51spH+0h6AL.jpg|"[Review, '""I haven\'t loved a book this much since I read Rick Riordan\'s books!""', '-Mark, Amazon Reviewer', '★★★★★ ""A perfect mixture of magic and mythology. An entrancing story of trust, friendship and well naughty boys. WITCHES are not the only thing walking the earth!""', '-BenjaminOfTomes, BookTuber', '★★★★★""Elementals gives Percy Jackson a run for its money! It has everything - humor, adventure, friendship, mystery, and even a bit of romance.""', -Ana Loves Reviews, '★★★★★""They weren\'t jok"
B00TE99CY8|Hidden Deep: Book 1 of The Hidden Saga|Kindle Edition|[  Teen & Young Adult]|Amy Patrick|https://m.media-amazon.com/images/I/5192ANP6LML.jpg|"[Review, '""I was immediately drawn to the cool, quiet tranquility of the woods. The details jumped off the page in deep green leaves and cold clear water. Then Lad and Ryann swept me right off my feet... I was glad that I started Hidden Deep on a Friday so that I could read straight through the night into the breaking hours of dawn. It ended way too quickly. I hope the continuation will be out soon. I will be making plans for another Friday night lost in the world of Lad and Ryann."" -', AJ- Bitt"
B078MC547V|All Your Perfects: A Novel|Kindle Edition|[  Literature & Fiction]|Colleen Hoover|https://m.media-amazon.com/images/I/41HxQfPYJGL.jpg|"[Review, '""Colleen Hoover returns with an emotionally raw page-turner."" -- Jamie Blynn, Us Weekly""Intimate and raw."" —', USA Today, '""Heart-wrenching...another fantastic read."" —', Bustle, '“Half-adorable, half gut-wrenching—and wholly a great read. Hoover captures the amazing side of a happy marriage, while at the same time connecting with the struggles of having one’s expectation of \'the perfect life\' not being met.”  —', 'Library Journal (starred review)', '""With a deft hand, Colleen Hoover"
B07QDNZ1V2|Shadowspell Academy: Culling Trials (Book 3)|Kindle Edition|[  Teen & Young Adult]|Shannon Mayer|https://m.media-amazon.com/images/I/513oUBanqcL.jpg|[]
B00OQSF6EW|The Sound of Glass|Kindle Edition|[  Literature & Fiction]|Karen White|https://m.media-amazon.com/images/I/51oeLGJgAiL.jpg|[Review, Praise for, The Sound of Glass, '“From the mysterious events of the first chapter to the heart-rending revelations of the last, Karen White paints a vivid portrait of a family filled with secrets, strife and—ultimately—love. I adore Karen’s stories and', The Sound of Glass, may well be my new favorite.”—, USA Today, 'bestselling author Diane Chamberlain   “Complex and emotionally rich, Karen White’s', Sound of Glass, 'will linger in the reader’s heart long after the last page is turned.
B07DFWZP9C|Ghostwater (Cradle Book 5)|Kindle Edition|[  Science Fiction & Fantasy]|Will Wight|https://m.media-amazon.com/images/I/61PxDE-HZAL.jpg|[About the Author, 'Will Wight is the author of the Traveler\'s Gate trilogy, the Elder Empire cycle, and the Cradle series, with other titles available in alternate dimensions. He can smell fear, taste anger, and hear joy. Will lives in Orlando, among the creatures of swamp and sea. He graduated from the University of Central Florida, where he received degrees in Creative Writing and Bear Surgery. Visit his website at www.WillWight.com for ancient knowledge, book news, and a deep sense of perso
B00AAGLVG6|He Loves Me, He Loves You Not|Kindle Edition|[  Literature & Fiction]|Mychea|https://m.media-amazon.com/images/I/518fGkTkfAL.jpg|[About the Author, 'A native of the Metropolitan of Washington, DC, Mychea (www.mychea.com) is the author of fiction novels Coveted (2010), Vengeance (2010), He Loves Me, He Loves You Not 1 (2012), He Loves Me, He Loves You Not 2 (2013), He Loves Me, He Loves You Not 3 (2014), My Boyfriend\'s Wife 1 (2014), He Loves Me, He Loves You Not 4 (2015) & He Loves Me, He Loves You Not 5 (2015), and My Boyfriend\'s Wife 2 (2016).Mychea is also a playwright and produces stage plays based off of her novels
B000UZNSN6|Born Standing Up: A Comic's Life|Kindle Edition|[  Biographies & Memoirs]|Steve Martin|https://m.media-amazon.com/images/I/41wY-r2ubCL.jpg|"[Review, '""Absolutely magnificent. One of the best books about comedy and being a comedian ever written."" - Jerry Seinfeld,', GQ, ...., About the Author, Steve Martin, 'is one of today\'s most talented performers. He has had huge success as a film actor, with such credits as', 'Cheaper by the Dozen, Father of the Bride, Roxanne, Parenthood, L.A. Story,', and many others. He has won Emmys for his television writing and two Grammys for his comedy albums. In addition to his bestselling novel, The P"
B0045UA66Y|The Twelfth Imam|Kindle Edition|[  Religion & Spirituality]|Joel C. Rosenberg|https://m.media-amazon.com/images/I/51xrVqzWSeL.jpg|[From Publishers Weekly, 'Bestseller Rosenberg (The Last Jihad) has carved out a deep niche in conservative political fiction, vividly sweeping from 1979 Iran during the hostage crisis to a world-threatening crisis in the present day. When a prophecy of the coming Mahdi, or 12th imam, is believed to have been fulfilled through a Muslim prophet, a nuclear attack is threatened by Iran against Israel to bring the end of days. Iranian-American CIA operative David Shirazi must infiltrate the Iranian 
B000UZNR32|Looking for Salvation at the Dairy Queen: A Novel|Kindle Edition|[  Literature & Fiction]|Susan Gregg Gilmore||"[Review, '""This is Susan Gregg Gilmore’s first novel, but her voice is similar to that of Fannie Flagg. Readers of Southern stories will enjoy the poignant self-discovery journey of this lovable heroine.""—', Tampa Tribune, '""Gilmore tells her tale with gentle humor and genuine regard for her characters.""—', Omaha World-Herald, '“If I had to make a comparison, I would compare Susan Gregg Gilmore to Fannie Flagg, but Gilmore more than holds her own. This is an unusually engaging novel by a very fi"
B002LATV16|One Second After (A John Matherson Novel Book 1)|Kindle Edition|[  Literature & Fiction]|William R. Forstchen|https://m.media-amazon.com/images/I/51QWrQ01RDL.jpg|"[Review, '""Civilization slides into the abyss of a new dark age in this horrifying apocalyptic novel.  Forstchen has put Bin Laden\'s wet dream on paper and, in the process, taken civilization straight to the rack.""--Stephen Coonts, author of', The Assassin, “The only thing more terrifying than this masterfully crafted story is the possibility of it actually happening—and not a damn thing being done to protect us.” --W.E.B. Griffin & William E. Butterworth IV, '""Forstchen\'s work has flair and p"
B01MPZM3FY|The Lying Game: A Novel|Kindle Edition|[  Literature & Fiction]|Ruth Ware|https://m.media-amazon.com/images/I/51YPwg1ZaiL.jpg|"[Review, '""Ware\'s third outing is just as full of psychological suspense as her earlier books, but there is a quietness about this one, a slower unraveling of tension and fear, that elevates it above her others...Cancel your plans for the weekend when you sit down with this book, because you won\'t want to move until it\'s over."" (Kirkus Reviews, Starred Review)“Ware masterfully harnesses the millhouse’s decrepit menace to create a slow-rising sense of foreboding, darkening Isa’s recollections "
B07NL5VP9J|One Good Deed (An Archer Novel Book 1)|Kindle Edition|[  Literature & Fiction]|No Disponible|https://m.media-amazon.com/images/I/51oxNo6r0TL.jpg|[]
B015QGBSLM|Thirty-Five and a Half Conspiracies (Rose Gardner Mystery Book 11)|Kindle Edition|[  'Mystery, Thriller & Suspense']|Denise Grover Swank|https://m.media-amazon.com/images/I/41EEOWtDHRL.jpg|[About the Author, New York Times, ',', Wall Street Journal, ', and', USA Today, 'bestselling author Denise Grover Swank has released over thirty novels and novellas and has sold over two million books. She writes mysteries with romance, humorous romance, light-hearted young adult romance, and urban fantasy. She lives in Blue Springs, Missouri with her three naughty dogs and six imaginative children. You can find out more about Denise at denisegroverswank.com.']
