user_id,categories,top_books
AE22PJ54OVIRX3I6KSLMPRHPHA4A,[  Literature & Fiction],"B00514HDNW,B01I42V96E,B013UVNZ7A"
AE24ZKF2I573QZK5Y3ICKGISLO4Q,[  Literature & Fiction],"B08RD8WFH9,B012W7BC3M,B072F14H1Z"
AE25KZVYXLI225BINWTSSPZF5UYA,[  Literature & Fiction],"B00N9JZHGQ,B004TP8ZZE,B00K2EOONI"
AE2BP5C4RADNGOHAIB7VURZ7JKPQ,[  Literature & Fiction],"B0BSG1XDTR,B0BHXK5WC3,B08GX21RHM"
AE2CIU5G6TLIUREQQA6YPVEIR6GQ,[  Literature & Fiction],"B01AQNYZ3I,B00O4FK87C,B0089LOG02"
AE2EI2FLRSDLXEJSWIOX5AO5T5YQ,[  Literature & Fiction],"B07MQRYBKP,B07NVD1276,B004CFA9RS"
AE2FOWUFGHJHMI3TFPVM7SYWQSMQ,[  Science Fiction & Fantasy],"B018S6GSDK,B01BROTNLO,B00EZB3WJQ"
AE2G2YO626FWFEAXLE4HYR3UCMPA,[  Literature & Fiction],"B07CRDZYBR,B07DC8LGG7,B0723DT3YX"
AE2HPAPSOQJZOKBLZKWCTK2W2PUA,[  Religion & Spirituality],"B00I8OS77S,B00GP0JWMQ,B01LZF038I"
AE2KCIWMPUZYMRWO7PJRK5IK46JQ,[  Literature & Fiction],"B002OHD1WQ,B084VVGLY4,B07CWSPSMX"
AE2KPHLIJPMQMDHNPIEAX53TUR5A,[  Literature & Fiction],"B08WRH53MY,B08DQLQDBF,B07SCTZ4RQ"
AE2L2QS27LBG26JRJHTNLLUQT3TQ,[  Literature & Fiction],"B07PP9N4D8,B08WN6T9BJ,B00PXGD274"
AE2MKT352NXB2EA4UOXDE5LVPR4A,"[  'Mystery, Thriller & Suspense']","B00BVC1SSE,B002Z13UGS,B006RNBI6O"
AE2MQBG3GVFGMTL3KHMWGDF5L2RA,[  Literature & Fiction],"B00BSBR9N6,B00BAXFECK,B00DMCV7K0"
AE2NKUOZVEMBS4T6AAERLJG2P6JQ,[  Literature & Fiction],"B07WQHHQGM,B0177XH2IK,B0013380Z0"
AE2NNYGBYYXNB5SG5WFQ5IOVYM4Q,[  Literature & Fiction],"B0953K41RV,B082SX9CXQ,B082WW397G"
AE2P4S4U5NYAVNFWK7SH3JZT2BHQ,[  Science Fiction & Fantasy],"B0B4MY8PN8,B09R6C5X88,B07X8ZH6BS"
AE2R3YBT6BBVB6GEC7PCODQGTK6Q,[  Literature & Fiction],"B0792BVBGG,B0711B67D3,B00IUA8IP6"
AE2TKZXSOJZ6CKWSAOASJZENDL3Q,[  Literature & Fiction],"B00ME0TBFE,B0180T0IUY,B0010SKUYM"
AE2UJSN3FATYTJ2B5WSQQQIWSNVA,"[  'Mystery, Thriller & Suspense']","B078GD3DRG,B0180YBIYY,B009NNHPIA"
AE2UVP4XQGDA7GBFMJ35ODZEOBUQ,[  Literature & Fiction],"B0BCWZHGW6,B0BSG1XDTR,B09NHPZZS5"
AE2VGJE6NTUIXNVRRWNG5IBTVU3Q,[  Science Fiction & Fantasy],"B002QE3CTY,B00BW3AY64,B003F3FJQO"
AE2XBLF5K2CGXFQBSV6Y733KO74Q,[  Science Fiction & Fantasy],"B07HFLJ6B4,B008F06JE8,B01M0I28M0"
AE2XKOJWULETIKXS2FQI2VIYCM3Q,[  Literature & Fiction],"B0176M3U10,B07QQLCZY1,B09CNFRZDC"
AE2XZZNTVAZBLD7MPEMCHEZRISOA,[  Literature & Fiction],"B01FSK7IWO,B099T5G43X,B078TZCYF5"
AE347KAK2ONZHLMNYVIALSF7HRTA,[  Literature & Fiction],"B016VQCFO0,B00WASWK7Q,B0181ONKDU"
AE35AOW5ZBA4GA47HQXLLUMCL7XA,[  Literature & Fiction],"B07XJN2NGT,B00G3NAPLC,B00C5R7FP4"
AE372JACMR3YN6SDAIZM4UBJPFDQ,[  Literature & Fiction],"B098NHZPWY,B08VJ6XH7Y,B08MZPFY3J"
